bench,seed,flushed_off,flushed_on,flushed_reduction,peak_off,peak_on,peak_delta,maxM_off,maxM_on,maxM_delta,pure_pend_end,pure_flushed,rec_identical
coherent_d5_r5,7,403,355,48,24576,24576,0,13,13,0,95,355,True
coherent_d5_r5,42,403,355,48,24576,24576,0,13,13,0,95,355,True
coherent_d5_r5,123,403,355,48,24576,24576,0,13,13,0,95,355,True
coherent_d3_r3,7,65,57,8,256,256,0,5,5,0,24,57,True
coherent_d3_r3,42,65,57,8,256,256,0,5,5,0,24,57,True
coherent_d3_r3,123,65,57,8,256,256,0,5,5,0,24,57,True
cultivation_d5,7,91,91,0,1024,1024,0,10,10,0,0,91,True
cultivation_d5,42,91,91,0,1024,1024,0,10,10,0,0,91,True
cultivation_d5,123,91,91,0,1024,1024,0,10,10,0,0,91,True
coherent_ry_d3_r3,7,153,153,0,65536,65536,0,16,16,0,0,153,True
coherent_ry_d3_r3,42,153,153,0,65536,65536,0,16,16,0,0,153,True
coherent_ry_d3_r3,123,153,153,0,65536,65536,0,16,16,0,0,153,True
distillation,7,10,10,0,32,32,0,4,4,0,0,10,True
distillation,42,10,10,0,32,32,0,4,4,0,0,10,True
distillation,123,10,10,0,32,32,0,4,4,0,0,10,True
