circuit,shot_id,meas_idx,step_id,record_id,meas_qubit,pending_rot_before,nc_core_rot,not_needed_this_meas,nc_core_qubits,nc_state_log2_transient,nc_state_log2_resident,clifft_active_rank_at_meas,state_gap_log2,core_rot_ids,core_qubit_ids
coherent_d5_r1,0,0,487,0,12,71,0,71,0,0,0,13,13,,
coherent_d5_r1,0,1,493,1,13,72,0,72,0,0,0,13,13,,
coherent_d5_r1,0,2,504,3,14,73,0,73,0,0,0,13,13,,
coherent_d5_r1,0,3,513,5,15,74,0,74,0,0,0,13,13,,
coherent_d5_r1,0,4,530,8,16,75,0,75,0,0,0,13,13,,
coherent_d5_r1,0,5,541,10,17,76,0,76,0,0,0,13,13,,
coherent_d5_r1,0,6,557,13,18,77,0,77,0,0,0,13,13,,
coherent_d5_r1,0,7,567,15,19,78,0,78,0,0,0,13,13,,
coherent_d5_r1,0,8,579,18,20,79,0,79,0,0,0,13,13,,
coherent_d5_r1,0,9,590,20,21,80,0,80,0,0,0,13,13,,
coherent_d5_r1,0,10,600,22,22,81,0,81,0,0,0,13,13,,
coherent_d5_r1,0,11,607,23,23,82,0,82,0,0,0,13,13,,
coherent_d5_r1,0,12,653,24,0,82,0,82,0,0,0,12,12,,
coherent_d5_r1,0,13,663,25,2,82,0,82,0,0,0,11,11,,
coherent_d5_r1,0,14,673,26,1,82,0,82,0,0,0,10,10,,
coherent_d5_r1,0,15,683,27,3,82,0,82,0,0,0,9,9,,
coherent_d5_r1,0,16,697,29,11,82,0,82,0,0,0,8,8,,
coherent_d5_r1,0,17,717,31,7,82,0,82,0,0,0,7,7,,
coherent_d5_r1,0,18,747,35,4,82,0,82,0,0,0,6,6,,
coherent_d5_r1,0,19,761,37,5,82,0,82,0,0,0,5,5,,
coherent_d5_r1,0,20,776,39,10,82,0,82,0,0,0,4,4,,
coherent_d5_r1,0,21,792,41,6,82,0,82,0,0,0,3,3,,
coherent_d5_r1,0,22,825,45,8,82,0,82,0,0,0,2,2,,
coherent_d5_r1,0,23,836,47,9,82,0,82,0,0,0,1,1,,
