circuit,shot_id,meas_idx,step_id,record_id,meas_qubit,pending_rot_before,nc_core_rot,not_needed_this_meas,nc_core_qubits,nc_state_log2_transient,nc_state_log2_resident,clifft_active_rank_at_meas,state_gap_log2,core_rot_ids,core_qubit_ids
cultivation_d5,0,0,182,7,0,8,8,0,4,4,3,4,0,0 1 2 3 4 5 6 7,0 1 2 3
cultivation_d5,0,1,402,36,1,7,4,3,4,4,3,4,0,8 9 10 12,1 2 3 4
cultivation_d5,0,2,409,35,4,3,2,1,3,3,3,3,0,11 13,2 3 4
cultivation_d5,0,3,421,34,3,1,1,0,1,3,1,2,-1,14,4
cultivation_d5,0,4,1222,73,2,19,19,0,10,10,10,10,0,15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33,4 5 6 7 8 9 10 11 12 13
cultivation_d5,0,5,1580,93,13,38,38,0,10,10,9,10,0,34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71,5 6 7 8 9 10 11 12 13 14
cultivation_d5,0,6,1609,100,14,4,4,0,10,10,9,10,0,72 73 74 75,6 7 8 9 10 11 12 13 14 15
cultivation_d5,0,7,1639,101,15,6,4,2,9,9,8,9,0,76 77 78 81,6 7 8 9 10 11 12 13 15
cultivation_d5,0,8,1656,107,12,4,2,2,8,8,7,8,0,80 83,6 7 9 10 11 12 13 15
cultivation_d5,0,9,1675,94,5,5,2,3,6,7,6,7,0,85 86,6 9 10 11 13 15
cultivation_d5,0,10,1707,106,11,5,3,2,6,6,5,6,0,79 87 88,6 9 10 11 13 15
cultivation_d5,0,11,1715,102,10,2,2,0,5,5,5,5,0,82 84,6 9 10 13 15
cultivation_d5,0,12,1724,95,9,0,0,0,0,3,3,4,1,,
cultivation_d5,0,13,1743,96,7,1,1,0,2,3,2,3,0,89,6 15
cultivation_d5,0,14,1764,108,6,1,1,0,1,2,0,2,0,90,15
