step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
0,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
1,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
2,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
3,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
4,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
5,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
6,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
7,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
8,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
9,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
10,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
11,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
12,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
13,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
14,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
15,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
16,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
17,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
18,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
19,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
20,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
21,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
22,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
23,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
24,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
25,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
26,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
27,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
28,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
29,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
30,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
31,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
32,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
33,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
34,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
35,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
36,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
37,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
38,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
39,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
40,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
41,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
42,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
43,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
44,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
45,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
46,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
47,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
48,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
49,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
50,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
51,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
52,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
53,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
54,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
55,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
56,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
57,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
58,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
59,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
60,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
61,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
62,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
63,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
64,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
65,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
66,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
67,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
68,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
69,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
70,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
71,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
72,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
73,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
74,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
75,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
76,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
77,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
78,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
79,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
80,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
81,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
82,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
83,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
84,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
85,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
86,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
87,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
88,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
89,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
90,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
91,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
92,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
93,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
94,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
95,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
96,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
97,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
98,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
99,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
100,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
101,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
102,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
103,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
104,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
105,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
106,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
107,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
108,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
109,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
110,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
111,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
112,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
113,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
114,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
115,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
116,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
117,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
118,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
119,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
120,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
121,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
122,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
123,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
124,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
125,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
126,0,16,16,2736,0,2736,0,1.0,0.005847953216374269
127,0,16,2304,2736,0,2736,0,0.006944444444444444,0.005847953216374269
128,1,32,2304,2770,0,2770,0,0.013888888888888888,0.011552346570397111
129,1,32,2304,2770,0,2770,0,0.013888888888888888,0.011552346570397111
130,1,32,2320,2770,0,2770,0,0.013793103448275862,0.011552346570397111
131,2,64,2320,2804,0,2804,0,0.027586206896551724,0.02282453637660485
132,2,64,2320,2804,0,2804,0,0.027586206896551724,0.02282453637660485
133,2,64,2336,2804,0,2804,0,0.0273972602739726,0.02282453637660485
134,3,128,2336,2838,0,2838,0,0.0547945205479452,0.04510218463706836
135,3,128,2336,2838,0,2838,0,0.0547945205479452,0.04510218463706836
136,3,128,2352,2838,0,2838,0,0.05442176870748299,0.04510218463706836
137,4,256,2352,2872,0,2872,0,0.10884353741496598,0.08913649025069638
138,4,256,2352,2872,0,2872,0,0.10884353741496598,0.08913649025069638
139,4,256,2368,2872,0,2872,0,0.10810810810810811,0.08913649025069638
140,5,512,2368,2906,0,2906,0,0.21621621621621623,0.17618719889883
141,5,512,2368,2906,0,2906,0,0.21621621621621623,0.17618719889883
142,5,512,2384,2906,0,2906,0,0.21476510067114093,0.17618719889883
143,6,1024,2384,2940,0,2940,0,0.42953020134228187,0.34829931972789113
144,6,1024,2384,2940,0,2940,0,0.42953020134228187,0.34829931972789113
145,6,1024,2400,2940,0,2940,0,0.4266666666666667,0.34829931972789113
146,7,2048,2400,2974,0,2974,0,0.8533333333333334,0.6886348352387357
147,7,2048,2400,2974,0,2974,0,0.8533333333333334,0.6886348352387357
148,7,2048,2416,2974,0,2974,0,0.847682119205298,0.6886348352387357
149,8,4096,2416,3008,0,3008,0,1.695364238410596,1.3617021276595744
150,8,4096,2416,3008,0,3008,0,1.695364238410596,1.3617021276595744
151,8,4096,2432,3008,0,3008,0,1.6842105263157894,1.3617021276595744
152,9,8192,2432,3042,0,3042,0,3.3684210526315788,2.692965154503616
153,9,8192,2432,3042,0,3042,0,3.3684210526315788,2.692965154503616
154,9,8192,2448,3042,0,3042,0,3.34640522875817,2.692965154503616
155,10,16384,2448,3076,0,3076,0,6.69281045751634,5.326397919375813
156,10,16384,2448,3076,0,3076,0,6.69281045751634,5.326397919375813
157,10,16384,2464,3076,0,3076,0,6.64935064935065,5.326397919375813
158,11,32768,2464,3110,0,3110,0,13.2987012987013,10.536334405144695
159,11,32768,2464,3110,0,3110,0,13.2987012987013,10.536334405144695
160,11,32768,2480,3110,0,3110,0,13.212903225806452,10.536334405144695
161,12,65536,2480,3144,0,3144,0,26.425806451612903,20.844783715012724
162,12,65536,2480,3144,0,3144,0,26.425806451612903,20.844783715012724
163,12,65536,2480,3178,0,3178,0,26.425806451612903,20.621774701069857
164,12,65536,2480,3178,0,3178,0,26.425806451612903,20.621774701069857
165,12,65536,2480,3212,0,3212,0,26.425806451612903,20.40348692403487
166,12,65536,2480,3212,0,3212,0,26.425806451612903,20.40348692403487
167,12,65536,2480,3246,0,3246,0,26.425806451612903,20.18977202711029
168,12,65536,2480,3246,0,3246,0,26.425806451612903,20.18977202711029
169,12,65536,2480,3280,0,3280,0,26.425806451612903,19.98048780487805
170,12,65536,2480,3280,0,3280,0,26.425806451612903,19.98048780487805
171,12,65536,2480,3314,0,3314,0,26.425806451612903,19.775497887748944
172,12,65536,2480,3314,0,3314,0,26.425806451612903,19.775497887748944
173,12,65536,2480,3348,0,3348,0,26.425806451612903,19.574671445639186
174,12,65536,2480,3348,0,3348,0,26.425806451612903,19.574671445639186
175,12,65536,2480,3382,0,3382,0,26.425806451612903,19.377882909520995
176,12,65536,2480,3382,0,3382,0,26.425806451612903,19.377882909520995
177,12,65536,2480,3416,0,3416,0,26.425806451612903,19.185011709601874
178,12,65536,2480,3416,0,3416,0,26.425806451612903,19.185011709601874
179,12,65536,2480,3450,0,3450,0,26.425806451612903,18.995942028985507
180,12,65536,2480,3450,0,3450,0,26.425806451612903,18.995942028985507
181,12,65536,2480,3484,0,3484,0,26.425806451612903,18.810562571756602
182,12,65536,2480,3484,0,3484,0,26.425806451612903,18.810562571756602
183,12,65536,2480,3484,0,3484,0,26.425806451612903,18.810562571756602
