step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
0,0,16,16,36,0,36,0,1.0,0.4444444444444444
1,0,16,16,36,0,36,0,1.0,0.4444444444444444
2,0,16,16,36,0,36,0,1.0,0.4444444444444444
3,0,16,16,36,0,36,0,1.0,0.4444444444444444
4,0,16,16,36,0,36,0,1.0,0.4444444444444444
5,0,16,16,36,0,36,0,1.0,0.4444444444444444
6,0,16,16,36,0,36,0,1.0,0.4444444444444444
7,0,16,16,36,0,36,0,1.0,0.4444444444444444
8,0,16,16,36,0,36,0,1.0,0.4444444444444444
9,0,16,16,36,0,36,0,1.0,0.4444444444444444
10,0,16,16,36,0,36,0,1.0,0.4444444444444444
11,0,16,16,36,0,36,0,1.0,0.4444444444444444
12,0,16,16,36,0,36,0,1.0,0.4444444444444444
13,0,16,16,36,0,36,0,1.0,0.4444444444444444
14,0,16,16,36,0,36,0,1.0,0.4444444444444444
15,0,16,16,36,0,36,0,1.0,0.4444444444444444
16,0,16,16,36,0,36,0,1.0,0.4444444444444444
17,0,16,16,36,0,36,0,1.0,0.4444444444444444
18,0,16,16,36,0,36,0,1.0,0.4444444444444444
19,0,16,16,36,0,36,0,1.0,0.4444444444444444
20,0,16,16,36,0,36,0,1.0,0.4444444444444444
21,0,16,16,36,0,36,0,1.0,0.4444444444444444
22,0,16,16,36,0,36,0,1.0,0.4444444444444444
23,0,16,16,36,0,36,0,1.0,0.4444444444444444
24,0,16,16,36,0,36,0,1.0,0.4444444444444444
25,0,16,16,36,0,36,0,1.0,0.4444444444444444
26,0,16,16,36,0,36,0,1.0,0.4444444444444444
27,0,16,16,36,0,36,0,1.0,0.4444444444444444
28,0,16,16,36,0,36,0,1.0,0.4444444444444444
29,0,16,16,36,0,36,0,1.0,0.4444444444444444
30,0,16,16,36,0,36,0,1.0,0.4444444444444444
31,0,16,16,36,0,36,0,1.0,0.4444444444444444
32,0,16,16,36,0,36,0,1.0,0.4444444444444444
33,0,16,192,36,0,36,0,0.08333333333333333,0.4444444444444444
34,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
35,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
36,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
37,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
38,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
39,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
40,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
41,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
42,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
43,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
44,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
45,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
46,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
47,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
48,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
49,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
50,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
51,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
52,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
53,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
54,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
55,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
56,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
57,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
58,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
59,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
60,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
61,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
62,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
63,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
64,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
65,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
66,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
67,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
68,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
69,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
70,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
71,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
72,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
73,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
74,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
75,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
76,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
77,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
78,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
79,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
80,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
81,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
82,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
83,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
84,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
85,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
86,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
87,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
88,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
89,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
90,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
91,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
92,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
93,1,32,192,54,0,54,0,0.16666666666666666,0.5925925925925926
