step,n_active,fused_resident_qubits,fused_transient_qubits,fused_resident_dim,fused_transient_dim
0,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
3,0,0,0,1,1
4,0,0,0,1,1
5,0,0,0,1,1
6,0,0,0,1,1
7,0,0,0,1,1
8,0,0,0,1,1
9,0,0,0,1,1
10,0,0,0,1,1
11,0,0,0,1,1
12,0,0,0,1,1
13,0,0,0,1,1
14,0,0,0,1,1
15,0,0,0,1,1
16,0,0,0,1,1
17,0,0,0,1,1
18,0,0,0,1,1
19,0,0,0,1,1
20,0,0,0,1,1
21,0,0,0,1,1
22,0,0,0,1,1
23,0,0,0,1,1
24,0,0,0,1,1
25,0,0,0,1,1
26,0,0,0,1,1
27,0,0,0,1,1
28,0,0,0,1,1
29,0,0,0,1,1
30,0,0,0,1,1
31,0,0,0,1,1
32,0,0,0,1,1
33,0,0,0,1,1
34,0,0,0,1,1
35,0,0,0,1,1
36,0,0,0,1,1
37,0,0,0,1,1
38,0,0,0,1,1
39,0,0,0,1,1
40,0,0,0,1,1
41,0,0,0,1,1
42,0,0,0,1,1
43,0,0,0,1,1
44,0,0,0,1,1
45,0,0,0,1,1
46,0,0,0,1,1
47,0,0,0,1,1
48,0,0,0,1,1
49,0,0,0,1,1
50,0,0,0,1,1
51,0,0,0,1,1
52,0,0,0,1,1
53,0,0,0,1,1
54,0,0,0,1,1
55,0,0,0,1,1
56,0,0,0,1,1
57,0,0,0,1,1
58,0,0,0,1,1
59,0,0,0,1,1
60,0,0,0,1,1
61,0,0,0,1,1
62,0,0,0,1,1
63,0,0,0,1,1
64,0,0,0,1,1
65,0,0,0,1,1
66,0,0,0,1,1
67,0,0,0,1,1
68,0,0,0,1,1
69,0,0,0,1,1
70,0,0,0,1,1
71,0,0,0,1,1
72,0,0,0,1,1
73,0,0,0,1,1
74,0,0,0,1,1
75,0,0,0,1,1
76,0,0,0,1,1
77,0,0,0,1,1
78,0,0,0,1,1
79,0,0,0,1,1
80,0,0,0,1,1
81,0,0,0,1,1
82,0,0,0,1,1
83,0,0,0,1,1
84,0,0,0,1,1
85,0,0,0,1,1
86,0,0,0,1,1
87,0,0,0,1,1
88,0,0,0,1,1
89,0,0,0,1,1
90,0,0,0,1,1
91,0,0,0,1,1
92,0,0,0,1,1
93,1,0,0,1,1
94,1,0,0,1,1
95,1,0,0,1,1
96,2,0,0,1,1
97,2,0,0,1,1
98,2,0,0,1,1
99,3,0,0,1,1
100,3,0,0,1,1
101,3,0,0,1,1
102,4,0,0,1,1
103,4,0,0,1,1
104,4,0,0,1,1
105,5,0,0,1,1
106,5,0,0,1,1
107,5,0,0,1,1
108,5,0,0,1,1
109,5,0,0,1,1
110,5,0,0,1,1
111,5,0,0,1,1
112,5,0,0,1,1
113,5,0,0,1,1
114,5,0,0,1,1
115,5,0,0,1,1
116,5,0,0,1,1
117,5,0,0,1,1
118,5,0,0,1,1
119,5,0,0,1,1
120,5,0,0,1,1
121,5,0,0,1,1
122,5,0,0,1,1
123,5,0,0,1,1
124,5,0,0,1,1
125,5,0,0,1,1
126,5,0,0,1,1
127,5,0,0,1,1
128,5,0,0,1,1
129,5,0,0,1,1
130,5,0,0,1,1
131,5,0,0,1,1
132,5,0,0,1,1
133,5,0,0,1,1
134,5,0,0,1,1
135,5,0,0,1,1
136,5,0,0,1,1
137,5,0,0,1,1
138,5,0,0,1,1
139,5,0,0,1,1
140,5,0,0,1,1
141,5,0,0,1,1
142,5,0,0,1,1
143,5,0,0,1,1
144,5,0,0,1,1
145,5,0,0,1,1
146,5,0,0,1,1
147,5,0,0,1,1
148,5,0,0,1,1
149,5,0,0,1,1
150,5,0,0,1,1
151,5,0,0,1,1
152,5,0,0,1,1
153,5,0,0,1,1
154,5,0,0,1,1
155,5,0,0,1,1
156,5,0,0,1,1
157,5,0,0,1,1
158,5,0,0,1,1
159,5,0,0,1,1
160,5,0,0,1,1
161,5,0,0,1,1
162,5,0,0,1,1
163,5,0,0,1,1
164,5,0,0,1,1
165,5,0,0,1,1
166,5,0,0,1,1
167,5,0,0,1,1
168,5,0,0,1,1
169,5,0,0,1,1
170,5,0,0,1,1
171,5,0,0,1,1
172,5,0,0,1,1
173,5,0,0,1,1
174,5,0,0,1,1
175,5,0,0,1,1
176,5,0,0,1,1
177,5,0,0,1,1
178,5,0,0,1,1
179,5,0,0,1,1
180,5,0,0,1,1
181,5,0,0,1,1
182,5,0,0,1,1
183,5,0,0,1,1
184,5,0,0,1,1
185,5,0,0,1,1
186,5,0,0,1,1
187,5,0,0,1,1
188,5,0,0,1,1
189,5,0,0,1,1
190,5,0,0,1,1
191,5,0,0,1,1
192,5,0,0,1,1
193,5,0,0,1,1
194,5,0,0,1,1
195,5,0,0,1,1
196,5,0,0,1,1
197,5,0,0,1,1
198,5,0,0,1,1
199,5,0,0,1,1
200,5,0,0,1,1
201,5,0,0,1,1
202,5,0,0,1,1
203,5,0,0,1,1
