step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
0,0,16,16,160,0,160,0,1.0,0.1
1,0,16,16,160,0,160,0,1.0,0.1
2,0,16,16,160,0,160,0,1.0,0.1
3,0,16,16,160,0,160,0,1.0,0.1
4,0,16,16,160,0,160,0,1.0,0.1
5,0,16,16,160,0,160,0,1.0,0.1
6,0,16,16,160,0,160,0,1.0,0.1
7,0,16,16,160,0,160,0,1.0,0.1
8,0,16,16,160,0,160,0,1.0,0.1
9,0,16,16,160,0,160,0,1.0,0.1
10,0,16,16,160,0,160,0,1.0,0.1
11,0,16,16,160,0,160,0,1.0,0.1
12,0,16,16,160,0,160,0,1.0,0.1
13,0,16,16,160,0,160,0,1.0,0.1
14,0,16,16,160,0,160,0,1.0,0.1
15,0,16,16,160,0,160,0,1.0,0.1
16,0,16,16,160,0,160,0,1.0,0.1
17,0,16,16,160,0,160,0,1.0,0.1
18,0,16,16,160,0,160,0,1.0,0.1
19,0,16,16,160,0,160,0,1.0,0.1
20,0,16,16,160,0,160,0,1.0,0.1
21,0,16,16,160,0,160,0,1.0,0.1
22,0,16,16,160,0,160,0,1.0,0.1
23,0,16,16,160,0,160,0,1.0,0.1
24,0,16,16,160,0,160,0,1.0,0.1
25,0,16,16,160,0,160,0,1.0,0.1
26,0,16,16,160,0,160,0,1.0,0.1
27,0,16,16,160,0,160,0,1.0,0.1
28,0,16,16,160,0,160,0,1.0,0.1
29,0,16,16,160,0,160,0,1.0,0.1
30,0,16,16,160,0,160,0,1.0,0.1
31,0,16,16,160,0,160,0,1.0,0.1
32,0,16,16,160,0,160,0,1.0,0.1
33,0,16,16,160,0,160,0,1.0,0.1
34,0,16,16,160,0,160,0,1.0,0.1
35,0,16,16,160,0,160,0,1.0,0.1
36,0,16,16,160,0,160,0,1.0,0.1
37,0,16,16,160,0,160,0,1.0,0.1
38,0,16,16,160,0,160,0,1.0,0.1
39,0,16,16,160,0,160,0,1.0,0.1
40,0,16,16,160,0,160,0,1.0,0.1
41,0,16,16,160,0,160,0,1.0,0.1
