circuit,shot_id,meas_idx,step_id,record_id,meas_qubit,pending_rot_before,nc_core_rot,not_needed_this_meas,nc_core_qubits,nc_state_log2_transient,nc_state_log2_resident,clifft_active_rank_at_meas,state_gap_log2,core_rot_ids,core_qubit_ids
coherent_d5_r5,0,0,487,0,12,71,0,71,0,0,0,13,13,,
coherent_d5_r5,0,1,493,1,13,72,0,72,0,0,0,13,13,,
coherent_d5_r5,0,2,504,3,14,73,0,73,0,0,0,13,13,,
coherent_d5_r5,0,3,513,5,15,74,0,74,0,0,0,13,13,,
coherent_d5_r5,0,4,530,8,16,75,0,75,0,0,0,13,13,,
coherent_d5_r5,0,5,541,10,17,76,0,76,0,0,0,13,13,,
coherent_d5_r5,0,6,557,13,18,77,0,77,0,0,0,13,13,,
coherent_d5_r5,0,7,567,15,19,78,0,78,0,0,0,13,13,,
coherent_d5_r5,0,8,579,18,20,79,0,79,0,0,0,13,13,,
coherent_d5_r5,0,9,590,20,21,80,0,80,0,0,0,13,13,,
coherent_d5_r5,0,10,600,22,22,81,0,81,0,0,0,13,13,,
coherent_d5_r5,0,11,607,23,23,82,0,82,0,0,0,13,13,,
coherent_d5_r5,0,12,1170,24,24,165,10,155,3,3,2,24,21,0 12 22 32 50 62 82 162 163 164,0 2 24
coherent_d5_r5,0,13,1174,25,25,158,11,147,5,5,4,23,18,1 17 27 36 42 54 67 83 165 166 167,0 1 2 3 25
coherent_d5_r5,0,14,1180,27,26,150,14,136,7,7,6,22,15,2 15 25 34 40 52 65 84 94 106 119 168 169 170,0 1 2 3 4 5 26
coherent_d5_r5,0,15,1186,29,27,139,14,125,7,7,6,21,14,3 20 30 38 45 47 56 58 85 99 110 171 172 173,0 1 2 3 4 5 27
coherent_d5_r5,0,16,1194,32,28,128,14,114,8,8,7,20,12,4 13 23 33 51 60 63 86 104 117 124 174 175 176,0 1 2 3 4 5 6 28
coherent_d5_r5,0,17,1200,34,29,117,15,102,9,9,8,19,10,5 18 28 37 43 55 68 87 97 108 122 128 177 178 179,0 1 2 3 4 5 6 7 29
coherent_d5_r5,0,18,1207,37,30,105,15,90,11,11,10,18,7,6 16 26 35 41 53 66 88 95 107 120 126 180 181 182,0 1 2 3 4 5 6 7 8 9 30
coherent_d5_r5,0,19,1212,39,31,93,16,77,11,11,10,17,6,7 21 31 39 46 48 57 59 89 100 111 112 130 183 184 185,0 1 2 3 4 5 6 7 8 9 31
coherent_d5_r5,0,20,1219,42,32,80,12,68,12,12,11,16,4,8 14 24 61 64 90 105 118 125 186 187 188,0 1 2 3 4 5 6 7 8 9 10 32
coherent_d5_r5,0,21,1224,44,33,71,13,58,13,13,12,15,2,9 19 29 44 69 91 98 109 123 129 189 190 191,0 1 2 3 4 5 6 7 8 9 10 11 33
coherent_d5_r5,0,22,1230,46,10,61,8,53,13,13,12,14,1,10 92 96 121 127 192 193 194,0 1 2 3 4 5 6 7 8 9 10 11 34
coherent_d5_r5,0,23,1233,47,35,56,9,47,13,13,12,13,0,11 49 93 101 113 131 195 196 197,0 1 2 3 4 5 6 7 8 9 11 34 35
coherent_d5_r5,0,24,1712,48,36,130,7,123,13,13,12,24,11,114 142 154 198 278 279 280,0 1 2 3 4 5 6 7 8 9 11 34 36
coherent_d5_r5,0,25,1716,49,37,126,7,119,13,13,12,23,10,134 146 159 199 281 282 283,0 1 2 3 4 5 6 7 8 9 11 34 37
coherent_d5_r5,0,26,1722,51,38,122,10,112,13,13,12,22,9,132 144 157 200 210 222 235 284 285 286,0 1 2 3 4 5 6 7 8 9 11 34 38
coherent_d5_r5,0,27,1728,53,39,115,11,104,13,13,12,21,8,102 137 139 148 150 201 215 226 287 288 289,0 1 2 3 4 5 6 7 8 9 11 34 39
coherent_d5_r5,0,28,1737,56,40,107,11,96,13,13,12,20,7,115 143 152 155 202 220 233 240 290 291 292,0 1 2 3 4 5 6 7 8 9 11 34 40
coherent_d5_r5,0,29,1743,58,41,99,11,88,13,13,12,19,6,135 147 160 203 213 224 238 244 293 294 295,0 1 2 3 4 5 6 7 8 9 11 34 41
coherent_d5_r5,0,30,1750,61,42,91,11,80,13,13,12,18,5,133 145 158 204 211 223 236 242 296 297 298,0 1 2 3 4 5 6 7 8 9 11 34 42
coherent_d5_r5,0,31,1755,63,43,83,13,70,13,13,12,17,4,103 138 140 149 151 205 216 227 228 246 299 300 301,0 1 2 3 4 5 6 7 8 9 11 34 43
coherent_d5_r5,0,32,1762,66,44,73,10,63,13,13,12,16,3,116 153 156 206 221 234 241 302 303 304,0 1 2 3 4 5 6 7 8 9 11 34 44
coherent_d5_r5,0,33,1767,68,45,66,10,56,13,13,12,15,2,136 161 207 214 225 239 245 305 306 307,0 1 2 3 4 5 6 7 8 9 11 34 45
coherent_d5_r5,0,34,1773,70,34,59,7,52,13,13,12,14,1,208 212 237 243 308 309 310,0 1 2 3 4 5 6 7 8 9 11 34 46
coherent_d5_r5,0,35,1776,71,47,55,8,47,13,13,12,13,0,141 209 217 229 247 311 312 313,0 1 2 3 4 5 6 7 8 9 11 46 47
coherent_d5_r5,0,36,2343,72,48,130,7,123,13,13,12,24,11,230 258 270 314 394 395 396,0 1 2 3 4 5 6 7 8 9 11 46 48
coherent_d5_r5,0,37,2347,73,49,126,7,119,13,13,12,23,10,250 262 275 315 397 398 399,0 1 2 3 4 5 6 7 8 9 11 46 49
coherent_d5_r5,0,38,2353,75,50,122,10,112,13,13,12,22,9,248 260 273 316 326 338 351 400 401 402,0 1 2 3 4 5 6 7 8 9 11 46 50
coherent_d5_r5,0,39,2359,77,51,115,11,104,13,13,12,21,8,218 253 255 264 266 317 331 342 403 404 405,0 1 2 3 4 5 6 7 8 9 11 46 51
coherent_d5_r5,0,40,2367,80,52,107,11,96,13,13,12,20,7,231 259 268 271 318 336 349 356 406 407 408,0 1 2 3 4 5 6 7 8 9 11 46 52
coherent_d5_r5,0,41,2373,82,53,99,11,88,13,13,12,19,6,251 263 276 319 329 340 354 360 409 410 411,0 1 2 3 4 5 6 7 8 9 11 46 53
coherent_d5_r5,0,42,2380,85,54,91,11,80,13,13,12,18,5,249 261 274 320 327 339 352 358 412 413 414,0 1 2 3 4 5 6 7 8 9 11 46 54
coherent_d5_r5,0,43,2385,87,55,83,13,70,13,13,12,17,4,219 254 256 265 267 321 332 343 344 362 415 416 417,0 1 2 3 4 5 6 7 8 9 11 46 55
coherent_d5_r5,0,44,2392,90,56,73,10,63,13,13,12,16,3,232 269 272 322 337 350 357 418 419 420,0 1 2 3 4 5 6 7 8 9 11 46 56
coherent_d5_r5,0,45,2397,92,57,66,10,56,13,13,12,15,2,252 277 323 330 341 355 361 421 422 423,0 1 2 3 4 5 6 7 8 9 11 46 57
coherent_d5_r5,0,46,2403,94,46,59,7,52,13,13,12,14,1,324 328 353 359 424 425 426,0 1 2 3 4 5 6 7 8 9 11 46 58
coherent_d5_r5,0,47,2406,95,59,55,8,47,13,13,12,13,0,257 325 333 345 363 427 428 429,0 1 2 3 4 5 6 7 8 9 11 58 59
coherent_d5_r5,0,48,2885,96,60,130,7,123,13,13,12,24,11,346 374 386 430 510 511 512,0 1 2 3 4 5 6 7 8 9 11 58 60
coherent_d5_r5,0,49,2889,97,61,126,7,119,13,13,12,23,10,366 378 391 431 513 514 515,0 1 2 3 4 5 6 7 8 9 11 58 61
coherent_d5_r5,0,50,2895,99,62,122,10,112,13,13,12,22,9,364 376 389 432 442 454 467 516 517 518,0 1 2 3 4 5 6 7 8 9 11 58 62
coherent_d5_r5,0,51,2901,101,63,115,11,104,13,13,12,21,8,334 369 371 380 382 433 447 458 519 520 521,0 1 2 3 4 5 6 7 8 9 11 58 63
coherent_d5_r5,0,52,2910,104,64,107,11,96,13,13,12,20,7,347 375 384 387 434 452 465 472 522 523 524,0 1 2 3 4 5 6 7 8 9 11 58 64
coherent_d5_r5,0,53,2916,106,65,99,11,88,13,13,12,19,6,367 379 392 435 445 456 470 476 525 526 527,0 1 2 3 4 5 6 7 8 9 11 58 65
coherent_d5_r5,0,54,2923,109,66,91,11,80,13,13,12,18,5,365 377 390 436 443 455 468 474 528 529 530,0 1 2 3 4 5 6 7 8 9 11 58 66
coherent_d5_r5,0,55,2928,111,67,83,13,70,13,13,12,17,4,335 370 372 381 383 437 448 459 460 478 531 532 533,0 1 2 3 4 5 6 7 8 9 11 58 67
coherent_d5_r5,0,56,2935,114,68,73,10,63,13,13,12,16,3,348 385 388 438 453 466 473 534 535 536,0 1 2 3 4 5 6 7 8 9 11 58 68
coherent_d5_r5,0,57,2940,116,69,66,10,56,13,13,12,15,2,368 393 439 446 457 471 477 537 538 539,0 1 2 3 4 5 6 7 8 9 11 58 69
coherent_d5_r5,0,58,2946,118,58,59,7,52,13,13,12,14,1,440 444 469 475 540 541 542,0 1 2 3 4 5 6 7 8 9 11 58 70
coherent_d5_r5,0,59,2949,119,71,55,8,47,13,13,12,13,0,373 441 449 461 479 543 544 545,0 1 2 3 4 5 6 7 8 9 11 70 71
coherent_d5_r5,0,60,3007,120,0,47,0,47,0,12,11,12,0,,
coherent_d5_r5,0,61,3017,121,2,47,0,47,0,11,10,11,0,,
coherent_d5_r5,0,62,3027,122,1,47,0,47,0,10,9,10,0,,
coherent_d5_r5,0,63,3037,123,3,47,0,47,0,9,8,9,0,,
coherent_d5_r5,0,64,3051,125,11,47,0,47,0,8,7,8,0,,
coherent_d5_r5,0,65,3071,127,7,47,0,47,0,7,6,7,0,,
coherent_d5_r5,0,66,3105,131,4,47,0,47,0,6,5,6,0,,
coherent_d5_r5,0,67,3125,133,5,47,0,47,0,5,4,5,0,,
coherent_d5_r5,0,68,3138,135,70,47,0,47,0,4,3,4,0,,
coherent_d5_r5,0,69,3161,137,6,47,0,47,0,3,1,3,0,,
coherent_d5_r5,0,70,3196,141,8,47,0,47,0,2,1,2,0,,
coherent_d5_r5,0,71,3208,143,9,47,0,47,0,1,0,1,0,,
