step,n_active,clifft_dense_bytes,ttn_stored_bytes,near_clifft_bytes,near_clifft_qubits,near_clifft_bytes_resident,near_clifft_qubits_resident,dense_over_ttn,dense_over_nc
0,0,16,16,336,0,336,0,1.0,0.047619047619047616
1,0,16,16,336,0,336,0,1.0,0.047619047619047616
2,0,16,16,336,0,336,0,1.0,0.047619047619047616
3,0,16,16,336,0,336,0,1.0,0.047619047619047616
4,0,16,16,336,0,336,0,1.0,0.047619047619047616
5,0,16,16,336,0,336,0,1.0,0.047619047619047616
6,0,16,16,336,0,336,0,1.0,0.047619047619047616
7,0,16,16,336,0,336,0,1.0,0.047619047619047616
8,0,16,16,336,0,336,0,1.0,0.047619047619047616
9,0,16,16,336,0,336,0,1.0,0.047619047619047616
10,0,16,16,336,0,336,0,1.0,0.047619047619047616
11,0,16,16,336,0,336,0,1.0,0.047619047619047616
12,0,16,16,336,0,336,0,1.0,0.047619047619047616
13,0,16,16,336,0,336,0,1.0,0.047619047619047616
14,0,16,16,336,0,336,0,1.0,0.047619047619047616
15,0,16,16,336,0,336,0,1.0,0.047619047619047616
16,0,16,16,336,0,336,0,1.0,0.047619047619047616
17,0,16,16,336,0,336,0,1.0,0.047619047619047616
18,0,16,16,336,0,336,0,1.0,0.047619047619047616
19,0,16,16,336,0,336,0,1.0,0.047619047619047616
20,0,16,16,336,0,336,0,1.0,0.047619047619047616
21,0,16,16,336,0,336,0,1.0,0.047619047619047616
22,0,16,16,336,0,336,0,1.0,0.047619047619047616
23,0,16,16,336,0,336,0,1.0,0.047619047619047616
24,0,16,16,336,0,336,0,1.0,0.047619047619047616
25,0,16,16,336,0,336,0,1.0,0.047619047619047616
26,0,16,16,336,0,336,0,1.0,0.047619047619047616
27,0,16,16,336,0,336,0,1.0,0.047619047619047616
28,0,16,16,336,0,336,0,1.0,0.047619047619047616
29,0,16,16,336,0,336,0,1.0,0.047619047619047616
30,0,16,16,336,0,336,0,1.0,0.047619047619047616
31,0,16,16,336,0,336,0,1.0,0.047619047619047616
32,0,16,16,336,0,336,0,1.0,0.047619047619047616
33,0,16,16,336,0,336,0,1.0,0.047619047619047616
34,0,16,16,336,0,336,0,1.0,0.047619047619047616
35,0,16,16,336,0,336,0,1.0,0.047619047619047616
36,0,16,16,336,0,336,0,1.0,0.047619047619047616
37,0,16,16,336,0,336,0,1.0,0.047619047619047616
38,0,16,16,336,0,336,0,1.0,0.047619047619047616
39,0,16,16,336,0,336,0,1.0,0.047619047619047616
40,0,16,16,336,0,336,0,1.0,0.047619047619047616
41,0,16,16,336,0,336,0,1.0,0.047619047619047616
42,0,16,16,336,0,336,0,1.0,0.047619047619047616
43,0,16,16,336,0,336,0,1.0,0.047619047619047616
44,0,16,16,336,0,336,0,1.0,0.047619047619047616
45,0,16,16,336,0,336,0,1.0,0.047619047619047616
46,0,16,16,336,0,336,0,1.0,0.047619047619047616
47,0,16,16,336,0,336,0,1.0,0.047619047619047616
48,0,16,16,336,0,336,0,1.0,0.047619047619047616
49,0,16,16,336,0,336,0,1.0,0.047619047619047616
50,0,16,16,336,0,336,0,1.0,0.047619047619047616
51,0,16,16,336,0,336,0,1.0,0.047619047619047616
52,0,16,16,336,0,336,0,1.0,0.047619047619047616
53,0,16,16,336,0,336,0,1.0,0.047619047619047616
54,0,16,16,336,0,336,0,1.0,0.047619047619047616
55,0,16,16,336,0,336,0,1.0,0.047619047619047616
56,0,16,16,336,0,336,0,1.0,0.047619047619047616
57,0,16,16,336,0,336,0,1.0,0.047619047619047616
58,0,16,16,336,0,336,0,1.0,0.047619047619047616
59,0,16,16,336,0,336,0,1.0,0.047619047619047616
60,0,16,16,336,0,336,0,1.0,0.047619047619047616
61,0,16,16,336,0,336,0,1.0,0.047619047619047616
62,0,16,16,336,0,336,0,1.0,0.047619047619047616
63,0,16,16,336,0,336,0,1.0,0.047619047619047616
64,0,16,16,336,0,336,0,1.0,0.047619047619047616
65,0,16,16,336,0,336,0,1.0,0.047619047619047616
66,0,16,16,336,0,336,0,1.0,0.047619047619047616
67,0,16,16,336,0,336,0,1.0,0.047619047619047616
68,0,16,16,336,0,336,0,1.0,0.047619047619047616
69,0,16,16,336,0,336,0,1.0,0.047619047619047616
70,0,16,16,336,0,336,0,1.0,0.047619047619047616
71,0,16,16,336,0,336,0,1.0,0.047619047619047616
72,0,16,16,336,0,336,0,1.0,0.047619047619047616
73,0,16,16,336,0,336,0,1.0,0.047619047619047616
74,0,16,16,336,0,336,0,1.0,0.047619047619047616
75,0,16,16,336,0,336,0,1.0,0.047619047619047616
76,0,16,16,336,0,336,0,1.0,0.047619047619047616
77,0,16,16,336,0,336,0,1.0,0.047619047619047616
78,0,16,16,336,0,336,0,1.0,0.047619047619047616
79,0,16,16,336,0,336,0,1.0,0.047619047619047616
80,0,16,16,336,0,336,0,1.0,0.047619047619047616
81,0,16,16,336,0,336,0,1.0,0.047619047619047616
82,0,16,16,336,0,336,0,1.0,0.047619047619047616
83,0,16,16,336,0,336,0,1.0,0.047619047619047616
84,0,16,16,336,0,336,0,1.0,0.047619047619047616
85,0,16,16,336,0,336,0,1.0,0.047619047619047616
86,0,16,16,336,0,336,0,1.0,0.047619047619047616
87,0,16,16,336,0,336,0,1.0,0.047619047619047616
88,0,16,16,336,0,336,0,1.0,0.047619047619047616
89,0,16,16,336,0,336,0,1.0,0.047619047619047616
90,0,16,16,336,0,336,0,1.0,0.047619047619047616
91,0,16,16,336,0,336,0,1.0,0.047619047619047616
92,0,16,16,336,0,336,0,1.0,0.047619047619047616
93,0,16,16,336,0,336,0,1.0,0.047619047619047616
94,0,16,16,336,0,336,0,1.0,0.047619047619047616
95,0,16,16,336,0,336,0,1.0,0.047619047619047616
96,0,16,16,336,0,336,0,1.0,0.047619047619047616
97,0,16,16,336,0,336,0,1.0,0.047619047619047616
98,0,16,16,336,0,336,0,1.0,0.047619047619047616
99,0,16,16,336,0,336,0,1.0,0.047619047619047616
100,0,16,16,336,0,336,0,1.0,0.047619047619047616
101,0,16,16,336,0,336,0,1.0,0.047619047619047616
102,0,16,16,336,0,336,0,1.0,0.047619047619047616
103,0,16,16,336,0,336,0,1.0,0.047619047619047616
104,0,16,16,336,0,336,0,1.0,0.047619047619047616
105,0,16,16,336,0,336,0,1.0,0.047619047619047616
106,0,16,16,336,0,336,0,1.0,0.047619047619047616
107,0,16,16,336,0,336,0,1.0,0.047619047619047616
108,0,16,16,336,0,336,0,1.0,0.047619047619047616
109,0,16,16,336,0,336,0,1.0,0.047619047619047616
110,0,16,16,336,0,336,0,1.0,0.047619047619047616
111,0,16,16,336,0,336,0,1.0,0.047619047619047616
112,0,16,16,336,0,336,0,1.0,0.047619047619047616
113,0,16,16,336,0,336,0,1.0,0.047619047619047616
114,0,16,16,336,0,336,0,1.0,0.047619047619047616
115,0,16,16,336,0,336,0,1.0,0.047619047619047616
116,0,16,16,336,0,336,0,1.0,0.047619047619047616
117,0,16,16,336,0,336,0,1.0,0.047619047619047616
118,0,16,16,336,0,336,0,1.0,0.047619047619047616
119,0,16,16,336,0,336,0,1.0,0.047619047619047616
120,0,16,16,336,0,336,0,1.0,0.047619047619047616
121,0,16,16,336,0,336,0,1.0,0.047619047619047616
122,0,16,16,336,0,336,0,1.0,0.047619047619047616
123,0,16,16,336,0,336,0,1.0,0.047619047619047616
124,0,16,16,336,0,336,0,1.0,0.047619047619047616
125,0,16,16,336,0,336,0,1.0,0.047619047619047616
126,0,16,16,336,0,336,0,1.0,0.047619047619047616
127,0,16,768,336,0,336,0,0.020833333333333332,0.047619047619047616
128,1,32,768,336,0,336,0,0.041666666666666664,0.09523809523809523
129,1,32,768,336,0,336,0,0.041666666666666664,0.09523809523809523
130,1,32,784,336,0,336,0,0.04081632653061224,0.09523809523809523
131,2,64,784,336,0,336,0,0.08163265306122448,0.19047619047619047
132,2,64,784,336,0,336,0,0.08163265306122448,0.19047619047619047
133,2,64,800,336,0,336,0,0.08,0.19047619047619047
134,3,128,800,336,0,336,0,0.16,0.38095238095238093
135,3,128,800,336,0,336,0,0.16,0.38095238095238093
136,3,128,816,336,0,336,0,0.1568627450980392,0.38095238095238093
137,4,256,816,336,0,336,0,0.3137254901960784,0.7619047619047619
138,4,256,816,336,0,336,0,0.3137254901960784,0.7619047619047619
139,4,256,832,336,0,336,0,0.3076923076923077,0.7619047619047619
140,5,512,832,336,0,336,0,0.6153846153846154,1.5238095238095237
141,5,512,832,336,0,336,0,0.6153846153846154,1.5238095238095237
142,5,512,848,336,0,336,0,0.6037735849056604,1.5238095238095237
143,6,1024,848,336,0,336,0,1.2075471698113207,3.0476190476190474
144,6,1024,848,336,0,336,0,1.2075471698113207,3.0476190476190474
145,6,1024,864,336,0,336,0,1.1851851851851851,3.0476190476190474
146,7,2048,864,336,0,336,0,2.3703703703703702,6.095238095238095
147,7,2048,864,336,0,336,0,2.3703703703703702,6.095238095238095
148,7,2048,880,336,0,336,0,2.327272727272727,6.095238095238095
149,8,4096,880,336,0,336,0,4.654545454545454,12.19047619047619
150,8,4096,880,336,0,336,0,4.654545454545454,12.19047619047619
151,8,4096,896,336,0,336,0,4.571428571428571,12.19047619047619
152,9,8192,896,336,0,336,0,9.142857142857142,24.38095238095238
153,9,8192,896,336,0,336,0,9.142857142857142,24.38095238095238
154,9,8192,912,336,0,336,0,8.982456140350877,24.38095238095238
155,10,16384,912,336,0,336,0,17.964912280701753,48.76190476190476
156,10,16384,912,336,0,336,0,17.964912280701753,48.76190476190476
157,10,16384,928,336,0,336,0,17.655172413793103,48.76190476190476
158,11,32768,928,336,0,336,0,35.310344827586206,97.52380952380952
159,11,32768,928,336,0,336,0,35.310344827586206,97.52380952380952
160,11,32768,944,336,0,336,0,34.71186440677966,97.52380952380952
161,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
162,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
163,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
164,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
165,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
166,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
167,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
168,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
169,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
170,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
171,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
172,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
173,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
174,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
175,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
176,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
177,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
178,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
179,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
180,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
181,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
182,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
183,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
184,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
185,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
186,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
187,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
188,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
189,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
190,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
191,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
192,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
193,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
194,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
195,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
196,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
197,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
198,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
199,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
200,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
201,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
202,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
203,12,65536,944,336,0,336,0,69.42372881355932,195.04761904761904
