circuit,category,clifft_unfused_calls,clifft_unfused_flop,bounded_calls,bounded_flop
coherent_ry_d3_r1,diag_rot,57,4116474,0,0
coherent_ry_d3_r1,offdiag_rot,0,0,57,14919912
coherent_ry_d3_r1,array_gate,113,7054926,0,0
coherent_ry_d3_r1,promote,17,0,17,0
coherent_ry_d3_r1,born,17,557048,0,0
coherent_ry_d3_r1,projection,0,557048,0,0
coherent_ry_d3_r1,sqnorm,0,0,375,5650860
coherent_ry_d3_r1,normalization,0,0,0,0
coherent_ry_d3_r1,purge,0,0,49,1378208
coherent_ry_d3_r1,swap_copy,13,0,17,0
coherent_ry_d3_r1,other,0,0,18,0
coherent_ry_d3_r3,diag_rot,153,12343290,0,0
coherent_ry_d3_r3,offdiag_rot,0,0,153,44226792
coherent_ry_d3_r3,array_gate,326,20877902,0,0
coherent_ry_d3_r3,promote,33,0,33,0
coherent_ry_d3_r3,born,33,1662968,0,0
coherent_ry_d3_r3,projection,0,1662968,0,0
coherent_ry_d3_r3,sqnorm,0,0,929,17786300
coherent_ry_d3_r3,normalization,0,0,0,0
coherent_ry_d3_r3,purge,0,0,69,1378208
coherent_ry_d3_r3,swap_copy,34,0,33,0
coherent_ry_d3_r3,other,0,0,34,0
cultivation_d3,diag_rot,0,0,0,0
cultivation_d3,offdiag_rot,0,0,29,4824
cultivation_d3,array_gate,35,1316,0,0
cultivation_d3,promote,6,0,6,0
cultivation_d3,born,5,240,0,0
cultivation_d3,projection,0,240,0,0
cultivation_d3,sqnorm,0,0,47,880
cultivation_d3,normalization,0,0,0,0
cultivation_d3,purge,0,0,12,288
cultivation_d3,swap_copy,51,0,5,0
cultivation_d3,other,0,0,6,0
cultivation_d5,diag_rot,0,0,0,0
cultivation_d5,offdiag_rot,0,0,91,684408
cultivation_d5,array_gate,102,179730,0,0
cultivation_d5,promote,16,0,16,0
cultivation_d5,born,15,16544,0,0
cultivation_d5,projection,0,16544,0,0
cultivation_d5,sqnorm,0,0,241,118304
cultivation_d5,normalization,0,0,0,0
cultivation_d5,purge,0,0,31,18432
cultivation_d5,swap_copy,292,0,15,0
cultivation_d5,other,0,0,16,0
coherent_rx_d3_r3,diag_rot,117,1408506,9,14976
coherent_rx_d3_r3,offdiag_rot,0,0,96,1013736
coherent_rx_d3_r3,array_gate,24,139776,0,0
coherent_rx_d3_r3,promote,33,0,30,0
coherent_rx_d3_r3,born,33,520184,0,0
coherent_rx_d3_r3,projection,0,520184,0,0
coherent_rx_d3_r3,sqnorm,0,0,912,2065164
coherent_rx_d3_r3,normalization,0,0,0,0
coherent_rx_d3_r3,purge,0,0,34,40320
coherent_rx_d3_r3,swap_copy,133,0,30,0
coherent_rx_d3_r3,other,0,0,34,0
coherent_d3_r3,diag_rot,105,44250,8,1296
coherent_d3_r3,offdiag_rot,0,0,57,12360
coherent_d3_r3,array_gate,8,3840,0,0
coherent_d3_r3,promote,16,0,12,0
coherent_d3_r3,born,16,4472,0,0
coherent_d3_r3,projection,0,0,0,0
coherent_d3_r3,sqnorm,0,0,168,6652
coherent_d3_r3,normalization,0,0,0,0
coherent_d3_r3,purge,0,0,12,150
coherent_d3_r3,swap_copy,67,0,12,0
coherent_d3_r3,other,0,0,17,0
coherent_rx_d3_r1,diag_rot,45,471546,3,4992
coherent_rx_d3_r1,offdiag_rot,0,0,38,190344
coherent_rx_d3_r1,array_gate,8,46592,0,0
coherent_rx_d3_r1,promote,17,0,14,0
coherent_rx_d3_r1,born,17,176120,0,0
coherent_rx_d3_r1,projection,0,176120,0,0
coherent_rx_d3_r1,sqnorm,0,0,278,287068
coherent_rx_d3_r1,normalization,0,0,0,0
coherent_rx_d3_r1,purge,0,0,19,14880
coherent_rx_d3_r1,swap_copy,40,0,14,0
coherent_rx_d3_r1,other,0,0,18,0
coherent_d5_r5,diag_rot,545,16912539642,48,1972464
coherent_d5_r5,offdiag_rot,0,0,355,20738184
coherent_d5_r5,array_gate,48,536739840,0,0
coherent_d5_r5,promote,72,0,60,0
coherent_d5_r5,born,72,537165816,0,0
coherent_d5_r5,projection,0,0,0,0
coherent_d5_r5,sqnorm,0,0,2484,25519196
coherent_d5_r5,normalization,0,0,0,0
coherent_d5_r5,purge,0,0,60,40950
coherent_d5_r5,swap_copy,817,0,60,0
coherent_d5_r5,other,0,0,73,0
distillation,diag_rot,5,186,5,336
distillation,offdiag_rot,0,0,5,456
distillation,array_gate,15,1232,0,0
distillation,promote,5,0,5,0
distillation,born,5,248,0,0
distillation,projection,0,232,0,0
distillation,sqnorm,0,0,33,412
distillation,normalization,0,0,0,0
distillation,purge,0,0,20,500
distillation,swap_copy,9,0,5,0
distillation,other,0,0,6,0
