rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,15,0,0,
1,14,150,1174405120,7829367.47
2,20,172,637534208,3706594.23
3,34,1080,2181038080,2019479.70
4,36,1840,1845493760,1002985.74
5,42,3552,1778384896,500671.42
6,72,18112,4664066048,257512.48
7,97,41856,5402263552,129067.84
8,78,61184,3925868544,64164.95
9,60,95744,3053453312,31891.85
10,88,302080,4865392640,16106.31
11,122,792576,6408896512,8086.16
12,1160,13496320,55197040640,4089.78
13,1302,33456128,68518150144,2048.00
