rank,n_events,flop_bounded,flop_clifft_modeled,win_ratio_cl_bn
0,3,0,0,
1,9,44,1441792,32768.00
2,19,168,2228224,13263.24
3,27,640,4194304,6553.60
4,18,800,3276800,4096.00
5,22,1856,3801088,2048.00
6,21,3200,2752512,860.16
7,22,7424,3801088,512.00
8,39,22272,4849664,217.75
9,27,31744,3538944,111.48
10,47,100352,5898240,58.78
11,47,219136,6684672,30.50
12,55,671744,9568256,14.24
13,41,770048,6160384,8.00
14,44,1900544,6946816,3.66
15,77,12517376,23461888,1.87
16,15,5701632,5373952,0.94
