circuit           mode             FLOP  wall(ms)  sweeps  traffic  perms pb_recmp  peakK
-----------------------------------------------------------------------------------------
coherent_ry_d3_r1 clifft-fused   24.40M      2.12      97    3.98M      2        0     16
                  clifft-unfused   12.29M      2.16     217    8.09M     13        0     16
                  P1             16.90M    212.63     207    4.30M     54        0     16
                  P2undo         18.41M    123.96     549   25.84M    278        0     16
                  P2fold-noI     12.91M     90.61     293    9.32M     81       51     16
                  P2fold+inv     12.91M     96.29     293    9.32M     81        0     16

coherent_ry_d3_r3 clifft-fused   72.66M      5.45     249   11.94M      6        0     16
                  clifft-unfused   36.55M      5.50     579   24.11M     34        0     16
                  P1             48.04M    648.70     419   10.96M    106        0     16
                  P2undo         50.47M    542.68    1009   46.22M    488        0     16
                  P2fold-noI     40.26M    364.73     731   25.68M    221      118     16
                  P2fold+inv     40.26M    355.53     731   25.68M    221        0     16

coherent_rx_d3_r3 clifft-fused    2.49M      0.42     226    1.53M     64        0     14
                  clifft-unfused    2.59M      0.44     340    2.71M    133        0     14
                  P1              1.31M     25.38     318  431.47k     85        3     12
                  P2undo          1.30M     25.22     334  562.54k     97        3     12
                  P2fold-noI      1.30M     28.88     330  529.78k     93       35     12
                  P2fold+inv      1.30M     25.63     330  529.78k     93        3     12

coherent_d5_r5    clifft-fused   18.93G   6047.85     926   14.49G    309        0     24
                  clifft-unfused   17.99G  10463.70    1554   30.60G    817        0     24
                  P1             25.10M    198.92     822    6.47M    168        1     13
                  P2undo         23.43M    188.60    1668   17.40M    492        1     13
                  P2fold-noI     20.75M    335.26    1417   14.87M    467      220     13
                  P2fold+inv     20.75M    225.52    1417   14.87M    467        1     13

cultivation_d5    clifft-fused  211.15k      0.08     214  209.79k    104        0     10
                  clifft-unfused  212.82k      0.11     425  530.23k    292        0     10
                  P1            727.70k    114.80     213  171.60k     58        0     10
                  P2undo        727.70k    108.22     213  171.60k     58        0     10
                  P2fold-noI    727.70k    104.32     213  171.60k     58       15     10
                  P2fold+inv    727.70k    106.36     213  171.60k     58        0     10

