circuit           mode             FLOP  wall(ms)  sweeps  traffic  perms pb_recmp  peakK
-----------------------------------------------------------------------------------------
coherent_ry_d3_r1 clifft-fused   24.40M      2.11      97    3.98M      2        0     16
                  clifft-unfused   12.29M      2.13     217    8.09M     13        0     16
                  P1             16.90M    212.51     207    4.30M     54        0     16
                  P2undo         18.36M    122.41     505   25.47M    260        0     16
                  P2fold-noI     12.85M     91.34     289   10.26M     96       45     16
                  P2fold+inv     12.85M     91.83     289   10.26M     96        0     16

coherent_ry_d3_r3 clifft-fused   72.66M      5.23     249   11.94M      6        0     16
                  clifft-unfused   36.55M      5.56     579   24.11M     34        0     16
                  P1             48.04M    646.53     419   10.96M    106        0     16
                  P2undo         50.38M    544.21     915   45.36M    446        0     16
                  P2fold-noI     43.59M    487.84     687   25.87M    237       86     16
                  P2fold+inv     43.59M    483.20     687   25.87M    237        0     16

coherent_rx_d3_r3 clifft-fused    2.49M      0.43     226    1.53M     64        0     14
                  clifft-unfused    2.59M      0.49     340    2.71M    133        0     14
                  P1              1.31M     26.00     318  431.47k     85        3     12
                  P2undo          1.31M     26.01     318  431.47k     85        3     12
                  P2fold-noI      1.31M     28.72     318  431.47k     85       33     12
                  P2fold+inv      1.31M     26.29     318  431.47k     85        3     12

coherent_d5_r5    clifft-fused   18.93G   6054.90     926   14.49G    309        0     24
                  clifft-unfused   17.99G  10478.22    1554   30.60G    817        0     24
                  P1             25.10M    198.55     822    6.47M    168        1     13
                  P2undo         25.10M    191.63     822    6.47M    168        1     13
                  P2fold-noI     25.10M    228.11     822    6.47M    168       60     13
                  P2fold+inv     25.10M    194.22     822    6.47M    168        1     13

cultivation_d5    clifft-fused  211.15k      0.09     214  209.79k    104        0     10
                  clifft-unfused  212.82k      0.11     425  530.23k    292        0     10
                  P1            727.70k    108.96     213  171.60k     58        0     10
                  P2undo        727.70k    104.26     213  171.60k     58        0     10
                  P2fold-noI    727.70k    103.41     213  171.60k     58       15     10
                  P2fold+inv    727.70k    103.20     213  171.60k     58        0     10

