step,n_active,bounded_resident_qubits,bounded_transient_qubits,bounded_resident_dim,bounded_transient_dim
0,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
3,0,0,0,1,1
4,0,0,0,1,1
5,0,0,0,1,1
6,0,0,0,1,1
7,0,0,0,1,1
8,0,0,0,1,1
9,0,0,0,1,1
10,0,0,0,1,1
11,0,0,0,1,1
12,0,0,0,1,1
13,0,0,0,1,1
14,0,0,0,1,1
15,0,0,0,1,1
16,0,0,0,1,1
17,0,0,0,1,1
18,0,0,0,1,1
19,0,0,0,1,1
20,0,0,0,1,1
21,0,0,0,1,1
22,0,0,0,1,1
23,0,0,0,1,1
24,0,0,0,1,1
25,0,0,0,1,1
26,0,0,0,1,1
27,0,0,0,1,1
28,0,0,0,1,1
29,0,0,0,1,1
30,0,0,0,1,1
31,0,0,0,1,1
32,0,0,0,1,1
33,0,0,0,1,1
34,0,0,0,1,1
35,0,0,0,1,1
36,0,0,0,1,1
37,0,0,0,1,1
38,0,0,0,1,1
39,0,0,0,1,1
40,0,0,0,1,1
41,0,0,0,1,1
42,0,0,0,1,1
43,0,0,0,1,1
44,0,0,0,1,1
45,0,0,0,1,1
46,0,0,0,1,1
47,0,0,0,1,1
48,0,0,0,1,1
49,0,0,0,1,1
50,0,0,0,1,1
51,0,0,0,1,1
52,0,0,0,1,1
53,0,0,0,1,1
54,1,0,0,1,1
55,1,0,0,1,1
56,1,0,0,1,1
57,1,0,0,1,1
58,2,0,0,1,1
59,2,0,0,1,1
60,2,0,0,1,1
61,2,0,0,1,1
62,3,0,0,1,1
63,3,0,0,1,1
64,3,0,0,1,1
65,3,0,0,1,1
66,4,0,0,1,1
67,4,0,0,1,1
68,4,0,0,1,1
69,4,0,0,1,1
70,5,0,0,1,1
71,5,0,0,1,1
72,5,0,0,1,1
73,5,0,0,1,1
74,6,0,0,1,1
75,6,0,0,1,1
76,6,0,0,1,1
77,6,0,0,1,1
78,7,0,0,1,1
79,7,0,0,1,1
80,7,0,0,1,1
81,7,0,0,1,1
82,8,0,0,1,1
83,8,0,0,1,1
84,8,0,0,1,1
85,8,0,0,1,1
86,9,0,0,1,1
87,9,0,0,1,1
88,9,0,0,1,1
89,9,0,0,1,1
90,9,0,0,1,1
91,9,0,0,1,1
92,9,0,0,1,1
93,9,0,0,1,1
94,9,0,0,1,1
95,9,0,0,1,1
96,9,0,0,1,1
97,9,0,0,1,1
98,9,0,0,1,1
99,9,0,0,1,1
100,9,0,0,1,1
101,10,0,0,1,1
102,10,0,0,1,1
103,10,0,0,1,1
104,10,0,0,1,1
105,10,0,0,1,1
106,10,0,0,1,1
107,10,0,0,1,1
108,11,0,0,1,1
109,11,0,0,1,1
110,11,0,0,1,1
111,11,0,0,1,1
112,11,0,0,1,1
113,11,0,0,1,1
114,11,0,0,1,1
115,12,0,0,1,1
116,12,0,0,1,1
117,12,0,0,1,1
118,12,0,0,1,1
119,12,0,0,1,1
120,12,0,0,1,1
121,12,0,0,1,1
122,12,0,0,1,1
123,12,0,0,1,1
124,12,0,0,1,1
125,12,0,0,1,1
126,12,0,0,1,1
127,12,0,0,1,1
128,12,0,0,1,1
129,12,0,0,1,1
130,12,0,0,1,1
131,12,0,0,1,1
132,12,0,0,1,1
133,12,0,0,1,1
134,12,0,0,1,1
135,12,0,0,1,1
136,12,0,0,1,1
137,12,0,0,1,1
138,12,0,0,1,1
139,12,0,0,1,1
140,12,0,0,1,1
141,12,0,0,1,1
142,12,0,0,1,1
143,12,0,0,1,1
144,12,0,0,1,1
145,12,0,0,1,1
146,12,0,0,1,1
147,12,0,0,1,1
148,12,0,0,1,1
149,12,0,0,1,1
150,12,0,0,1,1
151,12,0,0,1,1
152,12,0,0,1,1
153,12,0,0,1,1
154,13,0,0,1,1
155,13,0,0,1,1
156,13,0,0,1,1
157,13,0,0,1,1
158,13,0,0,1,1
159,13,0,0,1,1
160,13,0,0,1,1
161,13,0,0,1,1
162,13,0,0,1,1
163,13,0,0,1,1
164,13,0,0,1,1
165,13,0,0,1,1
166,13,0,0,1,1
167,13,0,0,1,1
168,13,0,0,1,1
169,13,0,0,1,1
170,13,0,0,1,1
171,13,0,0,1,1
172,13,0,0,1,1
173,13,0,0,1,1
174,13,0,0,1,1
175,13,0,0,1,1
176,13,0,0,1,1
177,13,0,0,1,1
178,13,0,0,1,1
179,14,0,0,1,1
180,14,0,0,1,1
181,14,0,0,1,1
182,14,0,0,1,1
183,14,0,0,1,1
184,14,0,0,1,1
185,14,0,0,1,1
186,14,0,0,1,1
187,13,1,1,2,2
188,13,1,1,2,2
189,13,1,1,2,2
190,12,6,7,64,128
191,12,6,6,64,64
192,12,6,6,64,64
193,12,6,6,64,64
194,12,6,6,64,64
195,13,6,6,64,64
196,13,6,6,64,64
197,13,6,6,64,64
198,12,7,7,128,128
199,12,7,7,128,128
200,12,7,7,128,128
201,11,10,11,1024,2048
202,11,10,10,1024,1024
